id;title;description;priority;status;create_time;update_time
1;fond moor past;abnegate offend;HIGH;DONE;2025-06-16T06:28:06;2025-06-17T04:23:35
2;hover;disadvantage ew;LOW;WORKING_ON_IT;2025-06-16T13:23:07;2025-06-16T08:43:05
3;woot probable honestly;absent violently;HIGH;DONE;2025-06-17T02:15:19;2025-06-17T03:27:55
4;pile reassemble;nutritious pfft recklessly;NORMAL;NOT_STARTED;2025-06-16T12:43:29;2025-06-17T00:58:47
5;slowly whoever;likewise nocturnal blah;LOW;NOT_STARTED;2025-06-16T10:26:30;2025-06-16T09:58:46
6;uh-huh;yearningly brr;NORMAL;WORKING_ON_IT;2025-06-16T12:17:49;2025-06-16T18:10:42
7;because evenly failing;vivaciously;LOW;DONE;2025-06-16T16:54:15;2025-06-16T19:17:13
8;um;an;LOW;WORKING_ON_IT;2025-06-17T03:27:38;2025-06-16T12:25:54
9;whoever wearily bobble;wheel stranger;LOW;NOT_STARTED;2025-06-16T15:50:50;2025-06-16T12:07:08
10;modulo stark dandelion;a rigidly;NORMAL;NOT_STARTED;2025-06-16T12:57:21;2025-06-16T09:40:05
